DATE,LREM64TTUSM156S
1992-08-01,70.9260803104972
1992-09-01,70.7713522229009
1992-10-01,70.6283481855823
1992-11-01,70.6585174669471
1992-12-01,70.7777006461889
1993-01-01,70.8415435766656
1993-02-01,70.9491390647884
1993-03-01,71.0129834375289
1993-04-01,70.9246465939985
1993-05-01,71.2001469611636
1993-06-01,71.3475835183714
1993-07-01,71.3471155319217
1993-08-01,71.392015956619
1993-09-01,71.2047654500902
1993-10-01,71.2208632427266
1993-11-01,71.4605501978725
1993-12-01,71.6090405563977
1994-01-01,71.5546818339815
1994-02-01,71.6644119665758
1994-03-01,71.5497473641674
1994-04-01,71.6432787436498
1994-05-01,71.9550546246053
1994-06-01,71.8095275616912
1994-07-01,71.8357078430083
1994-08-01,72.0972049969144
1994-09-01,72.2363837774079
